PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
Uncharacterized protein YebO	Escherichia coli	95	P64499	41.72
Intermembrane transport protein YebT	Escherichia coli	877	P76272	42.3
Uncharacterized protein YebV	Escherichia coli	78	P64503	41.99
Uncharacterized protein YebY	Escherichia coli	113	P64506	50.56
Uncharacterized protein YecA	Escherichia coli	221	P0AD05	39.67
Isochorismatase family protein YecD	Escherichia coli	188	P0ADI7	47.62
Protein YecM	Escherichia coli	188	P52007	40.45
L-cystine transport system permease protein TcyL	Escherichia coli	222	P0AFT2	44.0
UPF0394 inner membrane protein YedE	Escherichia coli	401	P31064	41.31
Inner membrane protein YedI	Escherichia coli	305	P46125	41.95
Mannosyl-3-phosphoglycerate phosphatase	Escherichia coli	271	P76329	40.23
Putative outer membrane protein YedS	Escherichia coli	161	P76335	40.92
Probable transcriptional regulatory protein YeeN	Escherichia coli	238	P0A8A2	39.21
UPF0265 protein YeeX	Escherichia coli	109	P0A8M6	38.08
Protein YeeZ	Escherichia coli	274	P0AD12	39.67
UPF0053 protein YegH	Escherichia coli	527	P76389	40.77
UPF0339 protein YegP	Escherichia coli	110	P76402	42.36
tRNA hydroxylation protein P	Escherichia coli	453	P76403	38.92
Uncharacterized protein YegU	Escherichia coli	334	P76418	41.55
Uncharacterized fimbrial-like protein YehD	Escherichia coli	180	P33343	40.34
Uncharacterized protein YehS	Escherichia coli	156	P33355	41.88
Glycine betaine-binding protein YehZ	Escherichia coli	305	P33362	46.14
Uncharacterized HTH-type transcriptional regulator YeiE	Escherichia coli	293	P0ACR4	40.55
S-formylglutathione hydrolase YeiG	Escherichia coli	278	P33018	40.26
Elongation factor P-like protein	Escherichia coli	190	P0A6N8	38.73
Zinc-binding GTPase YeiR	Escherichia coli	328	P33030	39.4
Uncharacterized protein YejA	Escherichia coli	604	P33913	39.98
Uncharacterized protein YejG	Escherichia coli	114	P0AD21	39.73
Nucleoid-associated protein YejK	Escherichia coli	335	P33920	39.12
UPF0352 protein YejL	Escherichia coli	75	P0AD24	39.92
NMN amidohydrolase-like protein YfaY	Escherichia coli	400	P77808	42.09
Outer membrane protein YfaZ	Escherichia coli	180	P76471	46.54
5'-deoxynucleotidase YfbR	Escherichia coli	199	P76491	42.13
UPF0304 protein YfbU	Escherichia coli	164	P0A8W8	47.96
Uncharacterized Nudix hydrolase YfcD	Escherichia coli	180	P65556	40.25
Phosphodiesterase YfcE	Escherichia coli	184	P67095	44.46
Disulfide-bond oxidoreductase YfcG	Escherichia coli	215	P77526	40.99
Epimerase family protein YfcH	Escherichia coli	297	P77775	39.86
Uncharacterized protein YfcL	Escherichia coli	92	P64540	40.46
UPF0115 protein YfcN	Escherichia coli	183	P0A8B2	38.78
UPF0381 protein YfcZ	Escherichia coli	94	P0AD33	45.73
Prophage bactoprenol glucosyl transferase homolog	Escherichia coli	306	P77293	40.55
Uncharacterized protein YfdI	Escherichia coli	443	P76507	41.33
Uncharacterized protein YfeD	Escherichia coli	130	P27238	39.49
Dye-decolorizing peroxidase YfeX	Escherichia coli	299	P76536	41.56
Uncharacterized protein YfeY	Escherichia coli	191	P76537	32.51
Protein YffB	Escherichia coli	118	P24178	44.93
Uncharacterized protein YffS	Escherichia coli	269	P76550	39.81
Uncharacterized protein YfgD	Escherichia coli	119	P76569	26.87
Uncharacterized protein YfgJ	Escherichia coli	71	P76575	48.17
UPF0070 protein YfgM	Escherichia coli	206	P76576	45.11
Ferredoxin YfhL	Escherichia coli	86	P52102	41.75
Alpha-2-macroglobulin	Escherichia coli	1653	P76578	43.32
tRNA1(Val) (adenine(37)-N6)-methyltransferase	Escherichia coli	245	P31825	39.89
Uncharacterized tRNA/rRNA methyltransferase YfiF	Escherichia coli	345	P0AGJ5	39.65
Purine nucleoside phosphorylase YfiH	Escherichia coli	243	P33644	46.4
Uncharacterized protein YgaM	Escherichia coli	109	P0ADQ7	38.43
Uncharacterized lipoprotein YgdI	Escherichia coli	75	P65292	41.45
Broad specificity amino-acid racemase YgeA	Escherichia coli	230	P03813	43.97
Uncharacterized lipoprotein YgeR	Escherichia coli	251	Q46798	40.53
Uncharacterized protein YgeY	Escherichia coli	403	P65807	40.67
UPF0149 protein YgfB	Escherichia coli	192	P0A8C4	39.81
tRNA-modifying protein YgfZ	Escherichia coli	326	P0ADE8	40.51
Uncharacterized protein YggL	Escherichia coli	108	P38521	40.84
Pyridoxal phosphate homeostasis protein	Escherichia coli	234	P67080	49.53
Uncharacterized protein YggT	Escherichia coli	188	P64564	40.32
UPF0235 protein YggU	Escherichia coli	96	P52060	44.54
Heme chaperone HemW	Escherichia coli	378	P52062	39.3
Probable Fe	Escherichia coli	91	P0A8P3	51.11
Uncharacterized oxidoreductase YghA	Escherichia coli	294	P0AG84	46.69
Putative lipoprotein AcfD homolog	Escherichia coli	1520	P0CK95	46.9
Disulfide-bond oxidoreductase YghU	Escherichia coli	288	Q46845	40.66
Putative acid--amine ligase YgiC	Escherichia coli	386	P0ADT5	44.9
Inorganic triphosphatase	Escherichia coli	433	P30871	38.9
Probable quinol monooxygenase YgiN	Escherichia coli	104	P0ADU2	46.19
UPF0313 protein YgiQ	Escherichia coli	739	Q46861	38.21
Uncharacterized oxidoreductase YgjR	Escherichia coli	328	P42599	40.42
Probable HTH-type transcriptional regulator YhaJ	Escherichia coli	298	P67660	39.11
Protein/nucleic acid deglycase 2	Escherichia coli	172	P45470	49.77
Uncharacterized N-acetyltransferase YhbS	Escherichia coli	167	P63417	38.23
Ubiquinone biosynthesis accessory factor UbiT	Escherichia coli	174	P64599	41.43
Luciferase-like monooxygenase	Escherichia coli	335	P0ADV5	40.35
RNA-binding protein YhbY	Escherichia coli	97	P0AGK4	40.88
Uncharacterized fimbrial chaperone YhcA	Escherichia coli	224	P28722	39.51
dTTP/UTP pyrophosphatase	Escherichia coli	197	P25536	42.1
Uncharacterized protein YhdP	Escherichia coli	1266	P46474	40.82
Uncharacterized protein YheO	Escherichia coli	240	P64624	38.89
Probable ATP-binding protein YheS	Escherichia coli	637	P63389	40.33
Uncharacterized protein YheV	Escherichia coli	66	P0ADW8	44.78
Protein YhfA	Escherichia coli	134	P0ADX1	52.78
Protein YhgF	Escherichia coli	773	P46837	37.41
Uncharacterized protein YhhM	Escherichia coli	119	P37615	41.39
Quercetin 2,3-dioxygenase	Escherichia coli	231	P46852	42.49
Uncharacterized oxidoreductase YhhX	Escherichia coli	345	P46853	48.77
Uncharacterized protein YhiI	Escherichia coli	355	P37626	39.62
Uncharacterized protein YhiN	Escherichia coli	400	P37631	43.37
Probable cytochrome c peroxidase	Escherichia coli	465	P37197	38.63
Inner membrane protein YhjD	Escherichia coli	337	P37642	41.19
AsmA family protein YhjG	Escherichia coli	686	P37645	42.02
Protein YhjJ	Escherichia coli	498	P37648	42.39
Probable cyclic di-GMP phosphodiesterase PdeK	Escherichia coli	662	P37649	40.13
Uncharacterized MFS-type transporter YhjX	Escherichia coli	402	P37662	51.54
Probable lipoprotein YiaD	Escherichia coli	219	P37665	40.77
Uncharacterized protein YiaF	Escherichia coli	236	P0ADK0	40.54
Uncharacterized GST-like protein YibF	Escherichia coli	202	P0ACA1	39.86
Uncharacterized protein YibN	Escherichia coli	143	P0AG27	43.04
Uncharacterized protein YibQ	Escherichia coli	319	P37691	39.47
UPF0701 protein YicC	Escherichia coli	287	P23839	45.06
AsmA family protein YicH	Escherichia coli	569	P31433	40.51
Sugar phosphatase YidA	Escherichia coli	270	P0A8Y5	39.22
Membrane protein insertase YidC	Escherichia coli	548	P25714	42.89
Putative transport protein YidE	Escherichia coli	553	P60872	43.88
Uncharacterized protein YidR	Escherichia coli	415	P31455	40.27
Uncharacterized HTH-type transcriptional regulator YieP	Escherichia coli	230	P31475	44.04
Probable transport protein YifK	Escherichia coli	461	P27837	44.85
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB	Escherichia coli	238	P0ADP0	40.15
Uncharacterized protein YigI	Escherichia coli	155	P0ADP2	45.39
Pyridoxal phosphate phosphatase YigL	Escherichia coli	266	P27848	39.36
Uncharacterized HTH-type transcriptional regulator YihL	Escherichia coli	236	P0ACM9	39.91
Uncharacterized protein YihM	Escherichia coli	326	P32134	38.74
HTH-type transcriptional repressor CsqR	Escherichia coli	261	P32144	39.12
Alpha-D-glucose 1-phosphate phosphatase YihX	Escherichia coli	199	P0A8Y3	40.99
Uncharacterized protein YiiD	Escherichia coli	329	P0ADQ2	38.51
Protein YiiM	Escherichia coli	224	P32157	43.26
Uncharacterized protein YiiQ	Escherichia coli	199	P32160	40.68
UPF0381 protein YiiS	Escherichia coli	99	P32162	46.91
Uncharacterized protein YjaG	Escherichia coli	196	P32680	39.02
UPF0047 protein YjbQ	Escherichia coli	138	P0AF48	41.18
Uncharacterized protein YjbR	Escherichia coli	118	P0AF50	43.82
HTH-type transcriptional regulator YjdC	Escherichia coli	191	P0ACU7	45.77
Uncharacterized protein YjdI	Escherichia coli	76	P0AF59	41.28
Uncharacterized protein YjdJ	Escherichia coli	90	P39274	41.54
Uncharacterized protein YjeI	Escherichia coli	117	P0AF70	40.91
UPF0307 protein YjgA	Escherichia coli	183	P0A8X0	55.42
Uncharacterized N-acetyltransferase YjgM	Escherichia coli	167	P39337	39.33
Uncharacterized protein YjgR	Escherichia coli	500	P39342	41.05
Uncharacterized transcriptional regulator YjhU	Escherichia coli	328	P39356	43.98
P-loop guanosine triphosphatase YjiA	Escherichia coli	318	P24203	38.52
Pyruvate/proton symporter BtsT	Escherichia coli	716	P39396	51.66
Uncharacterized protein YjjA	Escherichia coli	164	P18390	40.37
Uncharacterized protein YjjI	Escherichia coli	516	P37342	41.16
Uncharacterized protein YjjU	Escherichia coli	357	P39407	39.73
Inosine/xanthosine triphosphatase	Escherichia coli	170	P39411	38.69
Uncharacterized protein YkgE	Escherichia coli	239	P77252	42.82
Uncharacterized protein YkgG	Escherichia coli	231	P77433	39.81
Inner membrane protein YlaC	Escherichia coli	156	P0AAS0	39.98
O-acetyl-ADP-ribose deacetylase	Escherichia coli	177	P0A8D6	39.64
Uncharacterized protein YncE	Escherichia coli	353	P76116	50.52
Uncharacterized protein YneG	Escherichia coli	119	P76148	39.77
Probable dimethyl sulfoxide reductase chain YnfF	Escherichia coli	807	P77783	41.56
Probable L,D-transpeptidase YnhG	Escherichia coli	334	P76193	39.51
Probable ketoamine kinase YniA	Escherichia coli	286	P77739	38.94
Uncharacterized protein YniB	Escherichia coli	178	P76208	45.33
Thiosulfate sulfurtransferase YnjE	Escherichia coli	435	P78067	42.8
Protein YobA	Escherichia coli	124	P0AA57	40.8
Uncharacterized oxidoreductase YohF	Escherichia coli	253	P33368	40.65
ABC transporter ATP-binding/permease protein YojI	Escherichia coli	547	P33941	39.34
Acetyltransferase YpeA	Escherichia coli	141	P76539	39.8
Uncharacterized protein YpfJ	Escherichia coli	287	P64429	47.11
Fructose-1-phosphate phosphatase YqaB	Escherichia coli	188	P77475	39.74
Flavodoxin YqcA	Escherichia coli	149	P65367	42.84
Uncharacterized protein YqcC	Escherichia coli	109	Q46919	40.29
N(4)-acetylcytidine amidohydrolase	Escherichia coli	103	P67603	41.62
UPF0301 protein YqgE	Escherichia coli	187	P0A8W5	41.62
Putative pre-16S rRNA nuclease	Escherichia coli	138	P0A8I1	42.69
UPF0114 protein YqhA	Escherichia coli	164	P67244	40.81
Alcohol dehydrogenase YqhD	Escherichia coli	387	Q46856	41.56
Esterase YqiA	Escherichia coli	193	P0A8Z7	40.67
Ubiquinone biosynthesis accessory factor UbiK	Escherichia coli	96	Q46868	49.02
Inner membrane protein YqjE	Escherichia coli	134	P64585	40.13
Glutathionyl-hydroquinone reductase YqjG	Escherichia coli	328	P42620	45.13
NADPH-dependent ferric-chelate reductase	Escherichia coli	254	Q46871	51.33
Transcriptional regulator YqjI	Escherichia coli	207	P64588	40.94
Uncharacterized protein YraP	Escherichia coli	191	P64596	47.21
Protein YrdA	Escherichia coli	184	P0A9W9	54.14
Putative membrane protein IgaA homolog	Escherichia coli	711	P45800	40.19
GMP/IMP nucleotidase YrfG	Escherichia coli	222	P64636	39.32
Cell division protein YtfB	Escherichia coli	212	P39310	44.21
Iron-sulfur cluster repair protein YtfE	Escherichia coli	220	P69506	41.82
Uncharacterized protein YtfJ	Escherichia coli	184	P39187	46.35
UPF0053 inner membrane protein YtfL	Escherichia coli	447	P0AE45	41.68
Gamma-glutamylcyclotransferase family protein YtfP	Escherichia coli	113	P0AE48	40.19
Cell division protein ZapA	Escherichia coli	109	P0ADS2	39.79
Cell division protein ZapB	Escherichia coli	81	P0AF36	27.14
Cell division protein ZapD	Escherichia coli	247	P36680	40.5
Metal-binding protein ZinT	Escherichia coli	216	P76344	46.29
Cell division protein ZipA	Escherichia coli	328	P77173	43.32
Zinc/cadmium/lead-transporting P-type ATPase	Escherichia coli	732	P37617	42.56
Zinc transport protein ZntB	Escherichia coli	327	P64423	41.12
HTH-type transcriptional regulator ZntR	Escherichia coli	141	P0ACS5	46.25
High-affinity zinc uptake system protein ZnuA	Escherichia coli	310	P39172	50.16
Zinc import ATP-binding protein ZnuC	Escherichia coli	251	P0A9X1	40.18
Zinc uptake regulation protein	Escherichia coli	171	P0AC51	42.76
Glucose-6-phosphate 1-dehydrogenase	Escherichia coli	491	P0AC53	44.76
Formamidopyrimidine-DNA glycosylase 	Thermus thermophilus	267	O50606	61.01
Anthranilate synthase component 1 	Thermus thermophilus	462	P05378	85.84
Anthranilate synthase component 2 	Thermus thermophilus	204	P05379	72.85
Phosphoglycerate kinase 	Thermus thermophilus	390	P09403	87.46
Polyubiquitin-C [Cleaved into: Ubiquitin]	Thermus thermophilus	685	P0CG48	82.99
30S ribosomal protein S7	Thermus thermophilus	156	P17291	89.32
DNA-binding protein HU 	Thermus thermophilus	96	P19436	80.41
ATP-dependent 6-phosphofructokinase 1 	Thermus thermophilus	322	P21777	88.09
Methionine--tRNA ligase 	Thermus thermophilus	618	P23395	88.68
DNA ligase 	Thermus thermophilus	676	P26996	84.02
Glutamate--tRNA ligase 	Thermus thermophilus	468	P27000	90.25
Type-2 restriction enzyme TthHB8I 	Thermus thermophilus	263	P29748	70.37
Modification methylase TthHB8I 	Thermus thermophilus	428	P29749	69.21
Isocitrate dehydrogenase [NADP] 	Thermus thermophilus	496	P33197	88.74
Transcription termination/antitermination protein NusG	Thermus thermophilus	184	P35872	80.96
Uridylate kinase 	Thermus thermophilus	233	P43891	87.76
Elongation factor Ts 	Thermus thermophilus	196	P43895	82.59
Transcription termination/antitermination protein NusA	Thermus thermophilus	387	P48514	77.9
Translation initiation factor IF-2	Thermus thermophilus	571	P48515	88.7
DNA polymerase I	Thermus thermophilus	834	P52028	76.35
Asparagine--tRNA ligase 	Thermus thermophilus	438	P54263	88.34
Histidine--tRNA ligase 	Thermus thermophilus	421	P56194	79.28
Glycine--tRNA ligase 	Thermus thermophilus	506	P56206	88.09
Isoleucine--tRNA ligase 	Thermus thermophilus	1043	P56690	81.86
Threonine--tRNA ligase 	Thermus thermophilus	659	P56881	79.61
Argininosuccinate synthase 	Thermus thermophilus	400	P59846	89.89
Elongation factor Tu-B 	Thermus thermophilus	406	P60339	76.26
50S ribosomal protein L2	Thermus thermophilus	276	P60405	90.39
50S ribosomal protein L13	Thermus thermophilus	140	P60488	82.37
50S ribosomal protein L20	Thermus thermophilus	118	P60491	90.23
50S ribosomal protein L21	Thermus thermophilus	101	P60492	90.46
Deoxyribodipyrimidine photo-lyase 	Thermus thermophilus	420	P61497	86.68
Superoxide dismutase [Mn] 	Thermus thermophilus	204	P61503	83.77
Myoglobin	Thermus thermophilus	154	P68082	67.14
UPF0340 protein TTHA0583 	Thermus thermophilus	196	P68591	83.12
V-type ATP synthase subunit F 	Thermus thermophilus	104	P74903	88.39
Alanine--tRNA ligase 	Thermus thermophilus	882	P74941	85.92
50S ribosomal protein L32	Thermus thermophilus	60	P80339	69.28
30S ribosomal protein S2	Thermus thermophilus	256	P80371	88.91
30S ribosomal protein S3	Thermus thermophilus	239	P80372	89.04
30S ribosomal protein S4	Thermus thermophilus	209	P80373	88.19
30S ribosomal protein S9	Thermus thermophilus	128	P80374	88.86
30S ribosomal protein S11	Thermus thermophilus	129	P80376	85.54
30S ribosomal protein S13	Thermus thermophilus	126	P80377	87.91
30S ribosomal protein S20	Thermus thermophilus	106	P80380	88.58
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase 	Thermus thermophilus	275	P83700	73.45
Peptide chain release factor 1 	Thermus thermophilus	354	P96077	67.25
5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase	Thermus thermophilus	502	Q53VT9	81.34
Uncharacterized protein	Thermus thermophilus	320	Q53VU3	72.21
PINc domain-containing protein	Thermus thermophilus	137	Q53VU6	90.6
Putative ATP-dependent RNA helicase	Thermus thermophilus	817	Q53VU9	89.17
Uncharacterized protein	Thermus thermophilus	293	Q53VV1	88.96
Uncharacterized protein	Thermus thermophilus	766	Q53VV2	84.61
WYL domain-containing protein	Thermus thermophilus	397	Q53VV3	78.87
Uncharacterized protein	Thermus thermophilus	206	Q53VV8	60.98
ABC transporter	Thermus thermophilus	149	Q53VW3	89.75
Ribonucleoside-diphosphate reductase	Thermus thermophilus	559	Q53VX0	75.1
HotDog ACOT-type domain-containing protein	Thermus thermophilus	133	Q53VX2	88.99
Uncharacterized protein	Thermus thermophilus	371	Q53VX9	88.31
CRISPR-associated protein Cse2 	Thermus thermophilus	169	Q53VY0	89.53
CRISPR-associated protein CasA/Cse1 	Thermus thermophilus	502	Q53VY1	74.51
CRISPR-associated endonuclease/helicase Cas3 	Thermus thermophilus	920	Q53VY2	77.01
N6_N4_Mtase domain-containing protein	Thermus thermophilus	314	Q53VY4	73.35
Uncharacterized protein	Thermus thermophilus	901	Q53VY8	80.76
Iron ABC transporter	Thermus thermophilus	358	Q53VZ2	83.07
ABC transporter	Thermus thermophilus	368	Q53VZ4	65.06
Uncharacterized protein	Thermus thermophilus	348	Q53W04	89.44
Uncharacterized protein	Thermus thermophilus	395	Q53W07	85.62
Uncharacterized protein	Thermus thermophilus	361	Q53W08	63.39
GGDEF domain-containing protein	Thermus thermophilus	584	Q53W09	78.73
CRISPR system endoribonuclease Csm6 	Thermus thermophilus	464	Q53W17	87.71
CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 	Thermus thermophilus	805	Q53W19	77.29
Uncharacterized protein	Thermus thermophilus	401	Q53W22	86.11
Putative glycerol-3-phohsphate dehydrogenase	Thermus thermophilus	510	Q53W23	80.06
Putative glycerophosphoryl diester phosphodiesterase	Thermus thermophilus	224	Q53W25	85.51
Peptide methionine sulfoxide reductase MsrA 	Thermus thermophilus	176	Q53W34	71.74
Uncharacterized protein	Thermus thermophilus	183	Q53W35	74.93
Putative transcriptional regulator	Thermus thermophilus	112	Q53W36	72.07
Uncharacterized protein	Thermus thermophilus	463	Q53W40	82.03
Chromosome partitioning ATPase	Thermus thermophilus	322	Q53W41	66.61
Chromosome partitioning protein	Thermus thermophilus	295	Q53W42	62.55
Acyl-CoA dehydrogenase	Thermus thermophilus	541	Q53W50	83.19
Putative acyltransferase	Thermus thermophilus	225	Q53W57	76.41
Cytochrome P450 	Thermus thermophilus	389	Q53W59	76.92
HTH-type transcriptional repressor CarH	Thermus thermophilus	285	Q53W62	76.15
NADH-ubiquinone oxidoreductase 39 kDa subunit related protein	Thermus thermophilus	287	Q53W64	89.58
Putative short-chain oxidoreductase	Thermus thermophilus	207	Q53W68	80.77
Methyltransf_11 domain-containing protein	Thermus thermophilus	250	Q53W72	77.28
Sugar ABC transporter	Thermus thermophilus	434	Q53W80	63.99
Transcriptional regulator	Thermus thermophilus	330	Q53W81	65.75
Transcriptional regulator	Thermus thermophilus	258	Q53W89	83.61
DrsE domain-containing protein	Thermus thermophilus	133	Q53W93	64.74
Piwi domain-containing protein	Thermus thermophilus	685	Q53W94	83.6
Cobyric acid synthase	Thermus thermophilus	629	Q53W96	65.65
Cobalamin biosynthesis aminotransferase	Thermus thermophilus	335	Q53W97	85.41
HEPN domain-containing protein	Thermus thermophilus	143	Q53W99	85.78
Cobalamin biosynthesis nitroreductase BluB	Thermus thermophilus	215	Q53WA1	65.17
SUMT 	Thermus thermophilus	235	Q53WA2	90.71
Uncharacterized protein	Thermus thermophilus	120	Q53WA3	83.97
Cobalamin biosynthesis protein CbiX	Thermus thermophilus	367	Q53WA4	71.06
Cobalamin biosynthesis protein CbiG	Thermus thermophilus	359	Q53WA5	88.44
Precorrin-3 C17-methyltransferase	Thermus thermophilus	295	Q53WA6	72.49
Precorrin-4 C11-methyltransferase	Thermus thermophilus	247	Q53WA7	89.64
Precorrin-2 methylase	Thermus thermophilus	223	Q53WA8	90.41
Precorrin-6Y C5	Thermus thermophilus	403	Q53WA9	85.34
Cobalamin biosynthesis precorrin-8X isomerase	Thermus thermophilus	218	Q53WB0	87.42
Cobalt-precorrin-5B C	Thermus thermophilus	366	Q53WB1	77.28
Alpha-ribazole-5'-phosphate phosphatase	Thermus thermophilus	177	Q53WB3	83.91
Uncharacterized protein	Thermus thermophilus	602	Q53WB5	77.11
Cobyrinate a	Thermus thermophilus	440	Q53WB9	80.4
BTAD domain-containing protein	Thermus thermophilus	875	Q53WC5	79.29
Uncharacterized protein	Thermus thermophilus	436	Q53WD8	79.61
Putative acyl-CoA dehydrogenase	Thermus thermophilus	378	Q53WE0	79.43
Uncharacterized protein	Thermus thermophilus	116	Q53WE1	84.05
Phosphoglycerate mutase family protein	Thermus thermophilus	217	Q53WE2	75.95
CRISPR system Cms protein Csm2 	Thermus thermophilus	134	Q53WF6	67.86
Polbeta domain-containing protein	Thermus thermophilus	130	Q53WG0	84.19
Uncharacterized protein	Thermus thermophilus	947	Q53WG2	88.31
Uncharacterized protein	Thermus thermophilus	124	Q53WG7	86.17
CRISPR-associated endoribonuclease Cse3 	Thermus thermophilus	211	Q53WG9	73.97
3-oxoacyl-[acyl carrier protein] reductase	Thermus thermophilus	263	Q53WH2	85.64
MaoC-related acyl dehydratase	Thermus thermophilus	151	Q53WH3	87.87
4HBT domain-containing protein	Thermus thermophilus	117	Q53WH4	80.9
Oxidoreductase	Thermus thermophilus	253	Q53WH6	84.21
Putative acyl-CoA dehydrogenase	Thermus thermophilus	386	Q53WH7	79.84
Probable phosphotransferase	Thermus thermophilus	325	Q53WH8	83.29
Acetaldehyde dehydrogenase 	Thermus thermophilus	307	Q53WH9	78.4
4-hydroxy-2-oxovalerate aldolase 	Thermus thermophilus	347	Q53WI0	90.64
Phenol hydroxylase component B	Thermus thermophilus	157	Q53WI2	87.94
4-oxalocrotonate tautomerase	Thermus thermophilus	64	Q53WI4	81.52
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 	Thermus thermophilus	604	Q56213	85.7
NADH-quinone oxidoreductase subunit 6 	Thermus thermophilus	181	Q56218	63.68
NADH-quinone oxidoreductase subunit 5 	Thermus thermophilus	207	Q56219	90.06
NADH-quinone oxidoreductase subunit 4 	Thermus thermophilus	409	Q56220	73.38
NADH-quinone oxidoreductase subunit 2 	Thermus thermophilus	181	Q56221	71.62
NADH-quinone oxidoreductase subunit 1 	Thermus thermophilus	438	Q56222	77.28
NADH-quinone oxidoreductase subunit 3 	Thermus thermophilus	783	Q56223	88.03
NADH-quinone oxidoreductase subunit 9 	Thermus thermophilus	182	Q56224	85.18
Aspartate/prephenate aminotransferase 	Thermus thermophilus	385	Q56232	86.5
Chaperone protein DnaK 	Thermus thermophilus	615	Q56235	76.91
Protein GrpE 	Thermus thermophilus	177	Q56236	82.71
Chaperone protein DnaJ 2	Thermus thermophilus	280	Q56237	83.74
UvrABC system protein A 	Thermus thermophilus	952	Q56242	85.7
UvrABC system protein B 	Thermus thermophilus	665	Q56243	73.56
V-type ATP synthase alpha chain 	Thermus thermophilus	578	Q56403	82.99
V-type ATP synthase beta chain 	Thermus thermophilus	478	Q56404	86.65
Dephospho-CoA kinase 	Thermus thermophilus	203	Q56416	78.43
MEMO1 family protein TTHA0924	Thermus thermophilus	326	Q56419	81.06
Ribosome maturation factor RimP	Thermus thermophilus	157	Q56425	75.47
Uncharacterized protein	Thermus thermophilus	249	Q5SGN0	84.39
tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG 	Thermus thermophilus	597	Q5SGV8	62.53
Chromosome partitioning protein	Thermus thermophilus	269	Q5SGW1	66.75
Uncharacterized protein	Thermus thermophilus	208	Q5SGW4	83.19
Phenylalanine--tRNA ligase beta subunit 	Thermus thermophilus	785	Q5SGX1	79.94
Phenylalanine--tRNA ligase alpha subunit 	Thermus thermophilus	350	Q5SGX2	73.15
2-oxoacid-ferredoxin oxidoreductase beta chain	Thermus thermophilus	304	Q5SGX4	89.52
2-oxoacid--ferredoxin oxidoreductase	Thermus thermophilus	616	Q5SGX5	88.72
Uncharacterized protein	Thermus thermophilus	93	Q5SGX7	66.6
DNA polymerase III subunit gamma/tau 	Thermus thermophilus	529	Q5SGX8	71.01
Uncharacterized protein	Thermus thermophilus	163	Q5SGX9	84.44
MutT/nudix family protein	Thermus thermophilus	155	Q5SGY3	64.63
Beta-lactamase regulatory protein 	Thermus thermophilus	198	Q5SGY4	70.94
Uncharacterized protein	Thermus thermophilus	136	Q5SGY7	87.88
Acyl-CoA dehydrogenase	Thermus thermophilus	387	Q5SGZ2	83.61
Probable dual-specificity RNA methyltransferase RlmN 	Thermus thermophilus	355	Q5SGZ3	71.25
AP_endonuc_2 domain-containing protein	Thermus thermophilus	258	Q5SGZ6	60.04
Glutamate 5-kinase 	Thermus thermophilus	370	Q5SH03	63.43
Uncharacterized protein	Thermus thermophilus	198	Q5SH09	83.66
Thioredoxin reductase 	Thermus thermophilus	325	Q5SH10	85.32
Flavin prenyltransferase UbiX 	Thermus thermophilus	188	Q5SH13	68.37
Acyl-CoA dehydrogenase	Thermus thermophilus	372	Q5SH14	76.72
Homocitrate synthase 	Thermus thermophilus	376	Q5SH16	79.4
Uncharacterized protein	Thermus thermophilus	74	Q5SH18	87.94
3-isopropylmalate dehydratase large subunit 	Thermus thermophilus	420	Q5SH19	78.69
3-isopropylmalate dehydratase small subunit 	Thermus thermophilus	163	Q5SH20	80.74
Alpha-aminoadipate--LysW ligase LysX 	Thermus thermophilus	280	Q5SH23	80.14
NTP_transf_2 domain-containing protein	Thermus thermophilus	106	Q5SH24	69.62
HEPN domain-containing protein	Thermus thermophilus	123	Q5SH25	81.83
[LysW]-L-2-aminoadipate 6-phosphate reductase 	Thermus thermophilus	345	Q5SH26	69.64
[LysW]-aminoadipate kinase 	Thermus thermophilus	269	Q5SH27	72.21
1,4-alpha-glucan branching enzyme	Thermus thermophilus	520	Q5SH28	77.69
GidA-related protein	Thermus thermophilus	232	Q5SH33	86.9
Peripheral subunit-binding 	Thermus thermophilus	340	Q5SH39	76.33
Aminopeptidase	Thermus thermophilus	354	Q5SH40	63.24
ABC transporter	Thermus thermophilus	292	Q5SH42	85.4
CAIB/BAIF family protein	Thermus thermophilus	407	Q5SH43	86.68
PG_binding_2 domain-containing protein	Thermus thermophilus	287	Q5SH49	75.61
MutT/nudix family protein	Thermus thermophilus	126	Q5SH50	83.56
Ferripyochelin-binding protein	Thermus thermophilus	230	Q5SH51	65.21
GTP cyclohydrolase 1 	Thermus thermophilus	220	Q5SH52	77.45
Sugar ABC transporter	Thermus thermophilus	394	Q5SH53	88.72
Probable repressor	Thermus thermophilus	260	Q5SH54	72.89
DUF11 domain-containing protein	Thermus thermophilus	954	Q5SH56	68.33
S-layer protein-related protein	Thermus thermophilus	439	Q5SH66	79.08
Uncharacterized protein	Thermus thermophilus	209	Q5SH68	79.98
Probable phosphatase	Thermus thermophilus	240	Q5SH69	71.94
PSP1-related protein	Thermus thermophilus	255	Q5SH71	76.22
